zh,pinyin
阱,jǐng
酬,chóu
丫,yā
搅,jiǎo
讽,fěng
赐,cì
呕,ǒu
尿,niào
揍,zòu
伪,wěi
抖,dǒu
霜,shuāng
卦,guà
煌,huáng
嫩,nèn
滩,tān
炬,jù
毯,tǎn
芒,máng
骚,sāo
憋,biē
轰,hōng
丸,wán
腾,téng
侮,wǔ
辱,rǔ
焰,yàn
沮,jǔ
炖,dùn
伐,fá
稚,zhì
诈,zhà
挽,wǎn
歧,qí
腹,fù
勿,wù
隆,lóng
蹦,bèng
泄,xiè
妥,tuǒ
瞪,dèng
谴,qiǎn
绳,shéng
灿,càn
拘,jū
岩,yán
皱,zhòu
豹,bào
赴,fù
掐,qiā
役,yì
虐,nüè
瘾,yǐn
窒,zhì
漆,qī
契,qì
舔,tiǎn
奴,nú
隶,lì
剥,bō
帜,zhì
吩,fēn
咐,fù
惫,bèi
莫,mò
廉,lián
缚,fù
垮,kuǎ
芝,zhī
蔓,màn
靴,xuē
仇,chóu
睹,dǔ
腕,wàn
耻,chǐ
倦,juàn
驰,chí
兑,duì
悦,yuè
弊,bì
蜡,là
烛,zhú
炫,xuàn
啃,kěn
帐,zhàng
篷,péng
颤,chàn
剖,pōu
雕,diāo
吁,xū
铝,lǚ
堕,duò
歹,dǎi
敞,chǎng
挪,nuó
澄,chéng
缝,fèng
撒,sā
郁,yù
掀,xiān
萝,luó
卜,bo
阁,gé
渗,shèn
塌,tā
斥,chì
帖,tiē
抚,fǔ
谣,yáo
瘫,tān
痪,huàn
雇,gù
佣,yōng
钙,gài
敷,fū
鄙,bǐ
苍,cāng
栽,zāi
遮,zhē
蘑,mó
菇,gū
髦,máo
钞,chāo
徘,pái
徊,huái
黎,lí
屠,tú
琢,zuó
殴,ōu
坠,zhuì
荒,huāng
唐,táng
弦,xián
囚,qiú
泌,mì
窜,cuàn
疏,shū
滥,làn
坪,píng
侦,zhēn
挠,náo
穆,mù
稀,xī
俊,jùn
痹,bì
募,mù
绅,shēn
堪,kān
盏,zhǎn
揉,róu
唤,huàn
盈,yíng
宵,xiāo
贪,tān
婪,lán
逆,nì
奢,shē
侈,chǐ
峻,jùn
巷,xiàng
粪,fèn
框,kuāng
舆,yú
迄,qì
喇,lǎ
叭,bā
贩,fàn
翁,wēng
蒸,zhēng
崛,jué
蝇,yíng
葬,zàng
袱,fú
缴,jiǎo
畸,jī
鸽,gē
蔽,bì
辨,biàn
遣,qiǎn
揪,jiū
锡,xī
衔,xián
肢,zhī
筋,jīn
肇,zhào
斩,zhǎn
猎,liè
蹭,cèng
蛙,wā
葱,cōng
浸,jìn
兽,shòu
撬,qiào
慷,kāng
慨,kǎi
躁,zào
逢,féng
溅,jiàn
寝,qǐn
疤,bā
叼,diāo
伏,fú
衅,xìn
丛,cóng
膨,péng
胀,zhàng
丙,bǐng
拌,bàn
滤,lǜ
攀,pān
屉,tì
翔,xiáng
锐,ruì
糙,cāo
蚊,wén
妄,wàng
耍,shuǎ
卓,zhuó
瀑,pù
鳄,è
凝,níng
痰,tán
潇,xiāo
狡,jiǎo
猾,huá
烁,shuò
卵,luǎn
诀,jué
剔,tī
庙,miào
棺,guān
俘,fú
虏,lǔ
赁,lìn
唠,láo
叨,dāo
辖,xiá
坟,fén
竭,jié
陋,lòu
衷,zhōng
鹅,é
绯,fēi
酥,sū
烹,pēng
饪,rèn
陶,táo
玄,xuán
稽,jī
旨,zhǐ
谬,miù
拓,tuò
皂,zào
卑,bēi
僵,jiāng
驳,bó
狭,xiá
峡,xiá
沐,mù
紊,wěn
墟,xū
萎,wēi
驱,qū
踹,chuài
苛,kē
梳,shū
颠,diān
滨,bīn
蚀,shí
愧,kuì
垄,lǒng
瞩,zhǔ
酝,yùn
酿,niàng
饲,sì
儒,rú
拣,jiǎn
捍,hàn
沸,fèi
君,jūn
拎,līn
翼,yì
驭,yù
鸣,míng
乞,qǐ
丐,gài
罐,guàn
棘,jí
削,xuē
虔,qián
肆,sì
伦,lún
畏,wèi
驯,xùn
殿,diàn
嘱,zhǔ
仙,xiān
搓,cuō
愣,lèng
惭,cán
绵,mián
暧,ài
昧,mèi
缸,gāng
跤,jiāo
扯,chě
彰,zhāng
赎,shú
趁,chèn
捂,wǔ
敛,liǎn
搏,bó
掰,bāi
筝,zhēng
郑,zhèng
阐,chǎn
廓,kuò
蒜,suàn
槛,kǎn
痴,chī
钩,gōu
婿,xù
匿,nì
僻,pì
伺,cì
涕,tì
洽,qià
绽,zhàn
绸,chóu
揽,lǎn
爪,zhǎo
穴,xué
蹬,dēng
冤,yuān
枉,wǎng
溯,sù
颊,jiá
芽,yá
畴,chóu
芭,bā
蕾,lěi
垒,lěi
哨,shào
缉,jī
捎,shāo
绰,chuò
矣,yǐ
诫,jiè
妖,yāo
绞,jiǎo
掠,lüè
腻,nì
晋,jìn
溶,róng
矫,jiǎo
呻,shēn
吟,yín
淌,tǎng
霍,huò
凳,dèng
铭,míng
茅,máo
恕,shù
捣,dǎo
泻,xiè
囊,náng
溢,yì
巅,diān
淆,xiáo
渔,yú
镶,xiāng
髓,suǐ
惦,diàn
屿,yǔ
茫,máng
忌,jì
炭,tàn
灸,jiǔ
惰,duò
酗,xù
塘,táng
熄,xī
啸,xiào
辟,pì
津,jīn
胚,pēi
呵,hē
磁,cí
晤,wù
牧,mù
嚷,rǎng
唬,hǔ
晃,huǎng
拴,shuān
拱,gǒng
缕,lǚ
仲,zhòng
躯,qū
叠,dié
瓣,bàn
腺,xiàn
泽,zé
呐,nà
鞠,jū
躬,gōng
裸,luǒ
逝,shì
寡,guǎ
仁,rén
觅,mì
闷,mèn
钦,qīn
蘸,zhàn
桨,jiǎng
诽,fěi
谤,bàng
譬,pì
悼,dào
焚,fén
峙,zhì
濒,bīn
煲,bāo
孵,fū
碑,bēi
搁,gē
曙,shǔ
嫂,sǎo
膛,táng
煽,shān
渺,miǎo
逸,yì
畜,chù
朦,méng
胧,lóng
媚,mèi
澈,chè
僚,liáo
铸,zhù
黏,nián
遏,è
抨,pēng
昔,xī
涮,shuàn
勾,gōu
廷,tíng
猩,xīng
惋,wǎn
撰,zhuàn
秃,tū
咀,jǔ
嚼,jué
乃,nǎi
耸,sǒng
荡,dàng
嗜,shì
腥,xīng
睦,mù
毅,yì
霸,bà
挚,zhì
鲁,lǔ
缀,zhuì
抠,kōu
禽,qín
岳,yuè
滞,zhì
颓,tuí
窥,kuī
倘,tǎng
囱,cōng
纺,fǎng
曰,yuē
溉,gài
锤,chuí
衍,yǎn
弛,chí
朽,xiǔ
厄,è
沼,zhǎo
簸,bǒ
歪,wāi
嗅,xiù
杖,zhàng
凄,qī
捶,chuí
饵,ěr
栓,shuān
吝,lìn
啬,sè
陨,yǔn
隙,xì
狈,bèi
俄,é
抒,shū
蹋,tà
睬,cǎi
屡,lǚ
溪,xī
缅,miǎn
裔,yì
懈,xiè
绷,bēng
萧,xiāo
溜,liū
倔,jué
毙,bì
徙,xǐ
肖,xiào
祭,jì
祀,sì
赤,chì
辫,biàn
椰,yē
歼,jiān
杠,gāng
鞭,biān
筐,kuāng
拙,zhuō
桑,sāng
婉,wǎn
韧,rèn
阀,fá
凿,záo
帕,pà
淀,diàn
沛,pèi
孝,xiào
甘,gān
媲,pì
遛,liú
卉,huì
菩,pú
萨,sà
怯,qiè
隘,ài
瘟,wēn
魁,kuí
昼,zhòu
酵,jiào
蔼,ǎi
烘,hōng
蔑,miè
诧,chà
泊,pō
渊,yuān
诵,sòng
赫,hè
窍,qiào
燕,yàn
颂,sòng
拢,lǒng
掷,zhì
坝,bà
伊,yī
兰,lán
惮,dàn
茎,jīng
嵌,qiàn
喧,xuān
侃,kǎn
巫,wū
奠,diàn
挟,xié
莽,mǎng
倚,yǐ
嚏,tì
杜,dù
牡,mǔ
丹,dān
庸,yōng
瘸,qué
嘈,cáo
耕,gēng
闺,guī
兜,dōu
缔,dì
澜,lán
滔,tāo
谜,mí
萌,méng
楷,kǎi
兆,zhào
稠,chóu
榨,zhà
莲,lián
韵,yùn
阂,hé
雹,báo
疙,gē
瘩,dā
柄,bǐng
陡,dǒu
迪,dí
僧,sēng
膳,shàn
寨,zhài
枢,shū
勘,kān
庇,bì
顷,qǐng
逊,xùn
芬,fēn
芳,fāng
诬,wū
荆,jīng
蕴,yùn
岔,chà
匠,jiàng
窘,jiǒng
逞,chěng
苟,gǒu
呛,qiāng
沧,cāng
屹,yì
魄,pò
仆,pū
飙,biāo
豁,huō
藻,zǎo
焕,huàn
殃,yāng
靶,bǎ
馁,něi
鼎,dǐng
潭,tán
讳,huì
飘,piāo
柬,jiǎn
尼,ní
笛,dí
暄,xuān
伯,bó
叮,dīng
馋,chán
刁,diāo
猖,chāng
哆,duō
嗦,suo
敦,dūn
迸,bèng
巢,cháo
俭,jiǎn
窟,kū
窿,lóng
逾,yú
肴,yáo
浩,hào
缤,bīn
哗,huā
饶,ráo
蓬,péng
竣,jùn
棱,léng
贮,zhù
裳,shang
怠,dài
漾,yàng
揣,chuāi
哺,bǔ
碟,dié
恍,huǎng
枣,zǎo
辽,liáo
礁,jiāo
哄,hǒng
眶,kuàng
挎,kuà
熏,xūn
拄,zhǔ
蒂,dì
贞,zhēn
舶,bó
徐,xú
秽,huì
辙,zhé
骏,jùn
灼,zhuó
缆,lǎn
冗,rǒng
椭,tuǒ
吭,kēng
斟,zhēn
酌,zhuó
凯,kǎi
铲,chǎn
丘,qiū
陵,líng
竿,gān
川,chuān
赡,shàn
孪,luán
钳,qián
兢,jīng
殷,yīn
慑,shè
阎,yán
柳,liǔ
舵,duò
疆,jiāng
茂,mào
骇,hài
莹,yíng
脊,jí
栖,qī
彬,bīn
荫,yīn
斧,fǔ
侍,shì
翠,cuì
寥,liáo
佐,zuǒ
熙,xī
攘,rǎng
簇,cù
搀,chān
棚,péng
讥,jī
瞻,zhān
贾,jiǎ
磋,cuō
奸,jiān
垦,kěn
砂,shā
函,hán
旭,xù
呜,wū
汪,wāng
旷,kuàng
亭,tíng
吏,lì
辰,chén
浊,zhuó
堤,dī
涤,dí
臊,sāo
秧,yāng
弘,hóng
夷,yí
俏,qiào
磊,lěi
钧,jūn
砌,qì
袍,páo
嬉,xī
鹤,hè
咧,liě
荷,hé
涡,wō
甸,diān
柏,bǎi
娇,jiāo
锲,qiè
沏,qī
嫦,cháng
娥,é
岭,lǐng
踊,yǒng
醇,chún
灶,zào
侠,xiá
赃,zāng
轴,zhóu
徽,huī
讹,é
秉,bǐng
侨,qiáo
戈,gē
禾,hé
絮,xù
杨,yáng
弈,yì
鸦,yā
雀,què
竖,shù
岂,qǐ
酣,hān
泰,tài
瑞,ruì
雁,yàn
潦,lǎo
乔,qiáo
萍,píng
恤,xù
咏,yǒng
桂,guì
卒,zú
怡,yí
馅,xiàn
炊,chuī
涝,lào
卤,lǔ
耿,gěng
藤,téng
矢,shǐ
沽,gū
沾,zhān
腊,là
朱,zhū
暮,mù
禅,chán
橱,chú
迭,dié
槐,huái
冶,yě
冈,gāng
弧,hú
遂,suì
鹏,péng
啰,luō
唆,suō
盹,dǔn
汛,xùn
